YEAR	DATE	TMAX	TMIN
2014	0625	256	156
2013	0625	211	144
2012	0625	189	128
2011	0625	222	100
2010	0625	228	133
2009	0625	206	139
2008	0625	250	117
2007	0625	222	94
2006	0625	383	167
2005	0625	239	150
2004	0625	244	161
2003	0625	283	117
2002	0625	328	144
2001	0625	228	78
2000	0625	306	122
1999	0625	161	111
1998	0625	156	122
1997	0625	239	122
1996	0625	228	133
1995	0625	278	128
1994	0625	228	106
1993	0625	300	139
1992	0625	294	156
1991	0625	167	133
1990	0625	244	128
1989	0625	317	156
1988	0625	261	150
1987	0625	350	133
1986	0625	283	117
1985	0625	261	94
1984	0625	306	150
1983	0625	239	111
1982	0625	272	167
1981	0625	294	128
1980	0625	189	100
1979	0625	311	139
1978	0625	194	128
1977	0625	244	128
1976	0625	206	67
1975	0625	172	111
1974	0625	156	89
1973	0625	206	178
1972	0625	211	133
1971	0625	211	94
1970	0625	339	117