Reading	As	Asplusminus	Pb	Pbplusminus
#1				
#2	42	3	360	4
#3	8.9	1.4	54.1	2
#4	38.2	1.8	126	2
#5	9.1	1.3	25.1	1.9
#6	5.4	0.9	18.8	1.3
#7	18.1	1	17.5	1.3
#8	25	3	303	4
#9	21	2	194	3
#10				
#11	41	2	226	3
#12	8	1.4	49.4	1.9
#13	12.7	1.8	136	2
#14	31	3	305	4
#15	13.7	1.3	38	1.8
#16	41	2	148	3
#17	44	2	183	3
#18	104	5	1353	9
#19	62	3	247	3
#20	75	3	278	4
#21	5.2	1.1	21.2	1.6
#22	5.2	1.2	23	1.6
#23	55	4	413	5
#24	33	3	302	4
#25	45	3	281	4
#26	53	2	192	3
#27	28.6	1.8	95	2
#28	28	1.6	77	2
#29	11	1.2	35.8	1.7
#30	2.7	1	5.2	1.4
#31	2.1	1	8.9	1.5
#32	14.5	1.3	68	1.8
#33	33.1	1.8	149	2
#34	19.3	1.7	101	2
#35	4.8	1.6	25	2
#36	5.6	1.6	28	2
#37	28.6	1.8	140	2
#38	23.4	1.7	98	2
#39	49	2	68	3
#40	5.5	1.1	9.9	1.5
#41	4.3	1	11.3	1.5
#42	1	12	3	15
#43	53	2	219	3
#44	52	2	216	3
#45	40.7	1.9	132	2
#46	36.3	1.7	113	2
#47	25.1	1.6	109	2
#48	28.6	1.7	131	2
#49	32.9	1.9	105	2
#50	34.8	1.9	108	2
#51	6.1	1.3	17.9	1.8
#52				
#53	5.6	1.2	24.7	1.7
#54	12	1.3	31.4	1.8
#55	11.6	1.3	33.2	1.8
#56	7.9	1.1	23.3	1.5
#57	8	2	16	3
#58	6.6	1.1	23.1	1.5
#59	4.7	1.1	16.6	1.6
#60	4.1	1.1	15.3	1.6
#61	5.8	1.1	12.5	1.6
#62	7.8	1.1	16.1	1.6
#63	7.8	1.2	27.2	1.7
#64	14.8	1.4	45.4	2
#65	25.1	1.7	87	2
#66	35	2	150	3
#67	31	2	189	3
#68	46	3	467	4
#69	4.8	0.9	20.8	1.3
#70	16.1	1.5	51	2
#71	9.1	1.4	30	2
#72	42.3	1.1	11	1