RAILROAD,FRTRNMI
BNSF,1723027938.0
UP,1520633220.0
CSX,879589905.0
NS,849371914.0
KCS,89888339.0
IC,62408465.0
WC,54893431.0
SOO,53118310.0
MRL,38568319.0
CP,35524985.0
GTW,27654153.0
FEC,16189987.0
CRSH,13308253.0
DME,11450368.0
DH,10454759.0
WE,9176872.0
GRS,9130330.0
CC,9066585.0
ICE,6554871.0
IAIS,5552277.0
MNA,4944948.0
ARR,4922014.0
PAL,4492270.0
IHB,4385345.0
DWP,4131872.0
DMIR,3760653.0
EJE,3552517.0
PNWR,3282759.0
BPRR,3134065.0
AGR,2903193.0
WSOR,2817999.0
MMR,2572685.0
INRD,2379254.0
UPME,2376348.0
NECR,2368967.0
CORP,2250047.0
CUOH,2209647.0
SW,2208179.0
PW,2092224.0
IORY,1889272.0
CFE,1867753.0
IANR,1748160.0
KO,1735964.0
SJVR,1725380.0
SKOL,1716064.0
NYSW,1693443.0
ARZC,1656326.0
BLE,1653989.0
RBMN,1649634.0
GLC,1615233.0
AO,1587115.0
MMA,1501490.0
WATX,1489746.0
UTAH,1371795.0
LSRC,1315295.0
KRR,1274991.0
RRVW,1257669.0
DGNO,1244447.0
EVWR,1241261.0
NKCR,1227280.0
HESR,1201967.0
NCRC,1199524.0
TIBR,1178635.0
KYLE,1166290.0
TCWR,1151771.0
RJCC,1143556.0
FWWR,1128769.0
ISRR,1075265.0
KAW,1067188.0
TPW,1065862.0
CBRY,1041335.0
LAS,1006799.0
EIRR,986607.0
CSS,982872.0
SLWC,946374.0
NYA,932446.0
SLR,908206.0
BB,895661.0
GC,892283.0
LDRR,833968.0
IMRR,828631.0
AWRR,821668.0
DMVW,816380.0
AM,811744.0
PHL,797579.0
CFNR,772940.0
AVR,770004.0
BAYL,769863.0
RCPE,741814.0
GFRR,739026.0
LIRC,738428.0
WTNN,738103.0
MQT,726272.0
ATN,709586.0
GSWR,697620.0
MNBR,696562.0
WNYP,687793.0
DQE,678501.0
WPRR,664792.0
KFR,655460.0
NPR,654668.0
AZER,641273.0
PSAP,610814.0
SCXF,607676.0
ABS,605557.0
PCC,602621.0
HRRC,598280.0
GDLK,595399.0
RSR,595220.0
LVRR,585348.0
GNBC,578802.0
GWR,543270.0
VTR,536347.0
EMRY,533472.0
WW,530984.0
IR,530588.0
FGLK,518293.0
RPRC,518125.0
CSO,511444.0
ELS,508430.0
SLRG,502571.0
TXPF,499553.0
OHCR,491800.0
JAIL,491763.0
CLNA,482836.0
ACWR,469270.0
GRNW,453518.0
CIND,447684.0
WSS,437114.0
YVRR,436451.0
RJCP,419938.0
RJCM,414631.0
MNR,411763.0
LC,408842.0
TSRR,400315.0
LSI,400312.0
DAIR,400065.0
SCRF,398113.0
KBSR,397191.0
DL,360181.0
WTLC,359155.0
SWP,346815.0
BS,346384.0
CSCD,346207.0
NCVA,340508.0
FNOR,333103.0
CEDR,330464.0
CBRW,330069.0
BRS,325945.0
KJRY,323993.0
MMID,317549.0
ALM,316754.0
ADBF,312201.0
NBER,310096.0
OTVR,303482.0
TNMR,284131.0
RVSC,282904.0
NENE,273983.0
PGR,272340.0
SRN,268980.0
NJRC,264137.0
MSE,261551.0
CLP,257791.0
ESPN,256713.0
WACR,256105.0
AB,252747.0
AA,246998.0
KWT,241200.0
CWRY,238390.0
LRWN,235675.0
LRWY,234801.0
NERR,232414.0
GRYR,230143.0
HOG,227620.0
INPR,223229.0
OSRR,222179.0
BRC,221306.0
MDDE,218981.0
CAGY,218842.0
FCEN,218384.0
GNRR,215445.0
RRRR,212971.0
RJCL,212726.0
MCRL,209787.0
FMRC,209171.0
MS,208607.0
YSVR,206192.0
GMRC,205925.0
IN,202370.0
PNR,195893.0
TRC,195111.0
FP,191695.0
VSOR,191646.0
MNN,188333.0
SGLR,181188.0
ASRY,178933.0
TXNW,177834.0
SERA,174934.0
HPTD,174612.0
APA,172870.0
FCRD,172502.0
NOGC,168099.0
CIRR,166877.0
AOK,166445.0
GRGL,163926.0
CMQX,160802.0
RJCW,160383.0
WN,159799.0
CERA,159510.0
TN,155496.0
AUAR,154192.0
POVA,153168.0
CWA,152352.0
CMR,150247.0
NSHR,149659.0
AERC,148654.0
BLR,147181.0
LNW,143712.0
CLC,143689.0
NHN,140335.0
TTIS,138705.0
AKDN,136063.0
CRL,134832.0
MMT,134297.0
AR,133085.0
CA,131138.0
EARY,131118.0
EWG,130694.0
GITM,130022.0
DN,129824.0
MPLI,129323.0
SBVR,128472.0
CALA,127288.0
BHRR,126314.0
TSBY,125662.0
PICK,124125.0
AUT,124053.0
BVRR,122695.0
HAL,122586.0
ARS,119754.0
TSU,115978.0
IERR,115436.0
PSRR,115288.0
MCER,115075.0
SRNJ,114358.0
MHWA,114196.0
ESWR,113498.0
LAL,112513.0
WSRY,112020.0
GTRA,111501.0
PI,110401.0
GET,109619.0
BCR,108630.0
MMRR,105571.0
BGCM,104723.0
RJCV,104148.0
ME,104098.0
LRY,102912.0
TNHR,102081.0
LXVR,101895.0
WVC,99935.0
ARC,98087.0
KXHR,97885.0
BHX,97139.0
BLU,96816.0
WCTX,96402.0
BLOL,95921.0
AN,95420.0
WCOR,95344.0
FRR,95191.0
YB,94710.0
MSTR,94179.0
HRT,92613.0
CCHA,92567.0
MDS,92219.0
HOS,91297.0
GS,90075.0
MERR,89076.0
SCXY,88041.0
FMID,87199.0
CBR,86438.0
PCN,85394.0
CCKY,84955.0
SDIY,84884.0
PDRR,84774.0
RARW,84767.0
WIR,84295.0
NOW,83986.0
ATLT,83559.0
MNJ,83443.0
TCRY,82251.0
WGCR,80092.0
GCSR,79824.0
EV,79051.0
UCIR,78828.0
STMA,76569.0
EIRC,76068.0
VR,75376.0
OMID,74515.0
MSO,74255.0
YSRR,74182.0
BCLR,73018.0
ECBR,72300.0
NTZR,71586.0
TXGN,68784.0
MSCI,68610.0
SLGW,68067.0
YRC,67853.0
CCT,67080.0
MSDR,66480.0
MSR,66206.0
CCRA,65580.0
GIMY,65378.0
GRLW,65262.0
MSWY,65217.0
MDW,65100.0
CFWR,64488.0
LSX,63709.0
LRS,60691.0
CPDR,60635.0
NYOG,59159.0
WVR,58879.0
ALAB,58521.0
MSRW,58358.0
KNOR,57841.0
CT,57048.0
SCIH,56840.0
BBAY,56436.0
CM,56355.0
GWWE,56015.0
EWR,55116.0
WFA,54660.0
COP,54334.0
POTB,54281.0
GR,53088.0
OAR,52535.0
QRR,52418.0
TR,51748.0
CVYR,51255.0
ATW,50838.0
BSOR,50609.0
CHR,50457.0
SLC,50034.0
RSOR,49588.0
HB,49394.0
JVRR,48556.0
SCS,48549.0
SCTR,48302.0
SMA,48261.0
USRV,48131.0
AZCR,47899.0
DT,47475.0
TKEN,47376.0
ANR,46805.0
GMR,45849.0
SMV,45293.0
SAC,45212.0
COEH,44777.0
USRO,44479.0
SNY,43380.0
RJCR,43272.0
FSR,42995.0
CZRY,42782.0
OHRY,42344.0
CKIN,42340.0
RRC,41372.0
NNW,40595.0
APNC,39384.0
SVRR,39012.0
ARA,38929.0
PN,38561.0
SMRR,38333.0
DSRC,38126.0
NCYR,37640.0
DCON,37437.0
SM,37308.0
SSC,37216.0
VCRR,36153.0
BGEX,35340.0
LBWR,35212.0
BKRR,34684.0
MNRR,34157.0
OUCH,33768.0
DSRR,33664.0
VSR,33194.0
DR,32969.0
IARR,32832.0
VSRR,30684.0
CMLR,29513.0
RSS,29395.0
SPSR,28571.0
MTNR,28468.0
GRWR,28256.0
BOP,28116.0
CEIW,27985.0
SIND,27820.0
HMCR,27812.0
TXOR,27215.0
GU,26993.0
CTSR,26879.0
CWCY,26038.0
NWP,25643.0
YCR,25240.0
AIKR,25213.0
PBVR,25113.0
GWRC,23868.0
BNG,23795.0
OCTL,23602.0
PVS,23221.0
CMPA,22929.0
WTJR,22799.0
GSWY,22370.0
HE,22265.0
OHIC,21632.0
NRI,21262.0
PR,21180.0
GSM,21112.0
MNC,21039.0
EDW,20467.0
CHAT,20383.0
NEGS,20280.0
SQVR,20081.0
FRVT,19899.0
TXN,19813.0
ACJR,19805.0
OHPA,19730.0
RNA,19707.0
CPR,19561.0
COER,19186.0
DCRR,18957.0
DLWR,18828.0
MRA,18779.0
MCSA,18468.0
USR,18426.0
WIRV,18380.0
HTR,17125.0
URR,17125.0
JERX,16882.0
MH,16511.0
DCLR,16228.0
CIC,15392.0
SL,14901.0
CCRR,14784.0
LNAL,14601.0
GCW,14531.0
MSN,14120.0
KRRC,14043.0
MBRX,14028.0
WURR,13959.0
NHRR,13864.0
OHIO,13628.0
ESFR,12482.0
NYLE,12388.0
IATR,12039.0
NVRR,11880.0
SNC,11783.0
HR,11516.0
ESHR,11136.0
HWRV,10926.0
NLA,10817.0
TCKR,10783.0
SRRR,10463.0
PVJR,10367.0
HOB,9755.0
ONCT,9678.0
NHCR,9632.0
SRC,9522.0
PGBX,9492.0
SFS,9386.0
WTA,9344.0
NOKL,8860.0
YW,8340.0
WJSL,8058.0
HKGX,8030.0
BDRV,7893.0
WWR,7320.0
WHOE,7174.0
MSV,7100.0
CTM,6971.0
USRS,6833.0
LVR,6702.0
YARR,6659.0
MCR,6442.0
LCR,6274.0
BRW,6159.0
PT,5860.0
OVRR,5754.0
CIRY,5627.0
NOPB,5620.0
SV,5440.0
HCRR,5339.0
CHS,5004.0
ABR,4870.0
PNRW,4191.0
BDTL,3871.0
TLEW,3864.0
SCX,3822.0
WGNS,3780.0
NSSR,3653.0
AF,3611.0
VST,3534.0
WSR,3448.0
SMRT,3336.0
BAP,3281.0
TBRY,3233.0
MIDH,3168.0
ISW,3113.0
VVRR,2887.0
SCBG,2833.0
RPP,2590.0
CPMY,2581.0
CWRO,2554.0
LIRR,2307.0
WMI,2211.0
ELKR,2137.0
PNW,2130.0
CCET,2080.0
CAMY,1972.0
BJRR,1796.0
LNVT,1713.0
WRS,1697.0
AWW,1636.0
BSFX,1595.0
KJR,1538.0
CGIF,1494.0
CSRM,1385.0
TYBR,1175.0
NYGL,1055.0
TVRM,1039.0
EBG,973.0
FC,920.0
BHR,898.0
RRTX,792.0
WTRM,773.0
PTRI,766.0
BSVY,756.0
CMSX,707.0
ITMZ,693.0
VCY,663.0
SAPT,620.0
TSWS,600.0
ECTB,574.0
MSTP,545.0
PRY,441.0
USG,430.0
RJCN,403.0
NAUG,385.0
CSMX,312.0
BEEM,289.0
MVRY,288.0
WWRC,280.0
GRRW,274.0
DRGR,264.0
MOR,254.0
CORY,250.0
GCRX,249.0
SFBR,240.0
NPDX,233.0
CTR,208.0
WKRL,177.0
CONW,176.0
DSNG,136.0
VRRC,134.0
KSRY,92.0
ABWR,90.0
RJCS,88.0
NMRX,75.0
FRRV,65.0
RLIX,59.0
STR,57.0
DSC,44.0
METW,40.0
SUVX,37.0
OYLO,30.0
MRAA,27.0
NHVX,27.0
SBRR,20.0
GGMX,12.0
TRE,10.0
EZR,6.0
OERY,6.0
RCXM,4.0
CAMD,2.0
JCIV,2.0
OVR,1.0
SNR,0.0
SPRV,0.0
CERR,0.0
SOWX,0.0
CDOT,0.0
SOM,0.0
SNVX,0.0
SDTI,0.0
SPRX,0.0
SCR,0.0
CCUO,0.0
WYCO,0.0
SNJX,0.0
CCRL,0.0
CCPN,0.0
SS,0.0
AGCR,0.0
SCMZ,0.0
SSR,0.0
STE,0.0
CCCX,0.0
STRT,0.0
XAAL,0.0
CHCX,0.0
SNCX,0.0
ACEX,0.0
CKSI,0.0
CMC,0.0
CNUR,0.0
SIRS,0.0
CNRX,0.0
CMRR,0.0
SHRX,0.0
SH,0.0
SGSC,0.0
CMTY,0.0
CMRX,0.0
SDNX,0.0
ABL,0.0
SFRV,0.0
SERX,0.0
SEPA,0.0
SE,0.0
SKTX,0.0
SLAL,0.0
XADB,0.0
ADCX,0.0
SMW,0.0
COGN,0.0
XALV,0.0
CFRC,0.0
SCRT,0.0
SMRS,0.0
CGBX,0.0
CNYX,0.0
CGIV,0.0
CHB,0.0
SLRS,0.0
XASN,0.0
XTGS,0.0
SLOI,0.0
CNYK,0.0
ZIOF,0.0
STS,0.0
SLGG,0.0
WCLR,0.0
WVRR,0.0
UCRY,0.0
BFT,0.0
BHC,0.0
WMSR,0.0
ATCX,0.0
BHRX,0.0
BHWY,0.0
UMP,0.0
UHRX,0.0
UFRC,0.0
ARSN,0.0
VALE,0.0
WOPR,0.0
TZPR,0.0
TXTX,0.0
TXR,0.0
BJRY,0.0
ARDJ,0.0
BLRR,0.0
BLRX,0.0
BML,0.0
UTAX,0.0
BFRR,0.0
WRRC,0.0
VTRR,0.0
WBRW,0.0
WBCR,0.0
WBC,0.0
BCRY,0.0
WAKS,0.0
BDR,0.0
WCRL,0.0
VTRW,0.0
WCTR,0.0
AWRY,0.0
BERR,0.0
VTAZ,0.0
AVSX,0.0
WFS,0.0
BDW,0.0
ATR,0.0
VREX,0.0
WGSH,0.0
ATK,0.0
VREE,0.0
WRM,0.0
BNSO,0.0
SVIZ,0.0
TCRM,0.0
BYSR,0.0
TISH,0.0
TIOC,0.0
ALLN,0.0
TEVR,0.0
BCRR,0.0
TCT,0.0
WTRY,0.0
CARR,0.0
TCCX,0.0
AMIX,0.0
TC,0.0
AKMD,0.0
TASD,0.0
CASS,0.0
SWGX,0.0
CBCX,0.0
SVTX,0.0
CBGR,0.0
AIRR,0.0
ALS,0.0
AOR,0.0
TTR,0.0
BSR,0.0
BRAN,0.0
BRG,0.0
TSR,0.0
TSE,0.0
WS,0.0
TRRJ,0.0
TRRA,0.0
TRMW,0.0
APRR,0.0
BSRX,0.0
TM,0.0
TPMO,0.0
TNTX,0.0
APPX,0.0
BVRY,0.0
BXN,0.0
BYCX,0.0
TMSS,0.0
TMEV,0.0
TMBL,0.0
LBR,0.0
RJCK,0.0
SCAX,0.0
SBNX,0.0
MVT,0.0
MVP,0.0
MTBD,0.0
HHRV,0.0
HIES,0.0
HRR,0.0
HRSX,0.0
HVMV,0.0
MRSR,0.0
MRS,0.0
MRMZ,0.0
MRLS,0.0
HVRX,0.0
HVSR,0.0
MOPH,0.0
MNTX,0.0
MNTM,0.0
IATX,0.0
ICRK,0.0
MNNR,0.0
ILRV,0.0
ILW,0.0
MNCW,0.0
IMSA,0.0
IPOK,0.0
MZL,0.0
NARZ,0.0
GWWL,0.0
NICX,0.0
NRRX,0.0
FRAX,0.0
NPRC,0.0
NPB,0.0
FTRL,0.0
NNRX,0.0
NNBR,0.0
NLR,0.0
NJTR,0.0
GICX,0.0
NIRC,0.0
NICD,0.0
NCIR,0.0
GLRX,0.0
GLSR,0.0
GRD,0.0
GRR,0.0
GRVV,0.0
GRW,0.0
NCTC,0.0
NCSS,0.0
GVSR,0.0
NCRA,0.0
NCMX,0.0
IPTX,0.0
IPWI,0.0
IRLX,0.0
LRPA,0.0
LT,0.0
KGTR,0.0
LSRX,0.0
LSMT,0.0
LSMR,0.0
LSIZ,0.0
KKRR,0.0
LS,0.0
KRM,0.0
KT,0.0
LRR,0.0
KTR,0.0
LVRX,0.0
LNO,0.0
LMIC,0.0
LKRR,0.0
LKP,0.0
LACZ,0.0
LI,0.0
LFIZ,0.0
LER,0.0
LAJ,0.0
LDLV,0.0
LCSR,0.0
KEOK,0.0
LW,0.0
IRM,0.0
MDRY,0.0
IRSS,0.0
IRYM,0.0
MKC,0.0
MJ,0.0
MHSF,0.0
MGRZ,0.0
MET,0.0
ITKC,0.0
ITSL,0.0
MDSN,0.0
JCAX,0.0
JEFW,0.0
LWAT,0.0
MCRY,0.0
KCT,0.0
MCCP,0.0
MBTA,0.0
MAW,0.0
MAUP,0.0
MATA,0.0
MAL,0.0
MACZ,0.0
MAA,0.0
KCTL,0.0
NRTX,0.0
FMWX,0.0
NSCR,0.0
DESR,0.0
DART,0.0
RJCA,0.0
RERX,0.0
RCRY,0.0
DC,0.0
RCIB,0.0
RASX,0.0
DCTA,0.0
RAJX,0.0
DE,0.0
PWCV,0.0
DLSR,0.0
LCHD,0.0
PVRR,0.0
PUCC,0.0
PTRA,0.0
PTR,0.0
PTO,0.0
PSWR,0.0
PSVR,0.0
DPRX,0.0
PSRM,0.0
PSCC,0.0
PSBX,0.0
RJCD,0.0
CWR,0.0
PRL,0.0
CRLE,0.0
SBG,0.0
SB,0.0
SAV,0.0
SAN,0.0
CPC,0.0
RVT,0.0
RVPR,0.0
RTRX,0.0
RTI,0.0
RTDZ,0.0
RTDC,0.0
CRRX,0.0
CW,0.0
CSDT,0.0
RSIX,0.0
RRWX,0.0
RRTM,0.0
CTN,0.0
RLGX,0.0
RLCH,0.0
RLAX,0.0
CTRR,0.0
CVR,0.0
CVSX,0.0
PSAN,0.0
DRIR,0.0
FLYJ,0.0
FCRS,0.0
OTR,0.0
EPRY,0.0
OPR,0.0
OLTX,0.0
OLB,0.0
OKRX,0.0
ESSV,0.0
ETRY,0.0
OERR,0.0
OCSR,0.0
FCR,0.0
FCRV,0.0
EFRR,0.0
NYNJ,0.0
NYCT,0.0
NYCH,0.0
FEVR,0.0
NWR,0.0
FGC,0.0
NVSV,0.0
FIR,0.0
NTRY,0.0
NSWS,0.0
NSR,0.0
EJR,0.0
PAM,0.0
PPHW,0.0
EACH,0.0
PPBD,0.0
POMT,0.0
POHC,0.0
POCA,0.0
DURR,0.0
PNRA,0.0
DUT,0.0
DVS,0.0
PMSW,0.0
PLL,0.0
PLAX,0.0
PHRR,0.0
PARN,0.0
EBRR,0.0
EBSR,0.0
PEX,0.0
EE,0.0
PCMZ,0.0
PCDX,0.0
EEC,0.0
EERZ,0.0
PBRF,0.0
PBR,0.0
PATH,0.0
ZWSX,0.0
